Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
389.0	56.5	86.921	0.011505	490.3	555.3	2.154	0.78998	1.1369	287.4	0.53969	2.0322e-05	0.027192	vapor
389.0	59.75	92.627	0.010796	488.79	553.3	2.1395	0.793	1.1526	286.63	0.53688	2.0426e-05	0.027458	vapor
389.0	63.0	98.421	0.01016	487.27	551.28	2.1256	0.79603	1.1688	285.87	0.53392	2.0534e-05	0.027732	vapor
389.0	66.25	104.31	0.0095872	485.73	549.24	2.1121	0.79907	1.1856	285.15	0.53078	2.0648e-05	0.028017	vapor
389.0	69.5	110.28	0.0090676	484.17	547.19	2.099	0.80213	1.2029	284.45	0.52748	2.0767e-05	0.028313	vapor
389.0	72.75	116.35	0.0085945	482.6	545.12	2.0863	0.80519	1.2207	283.79	0.524	2.0892e-05	0.02862	vapor
389.0	76.0	122.52	0.008162	481.0	543.03	2.074	0.80826	1.239	283.16	0.52035	2.1023e-05	0.028937	vapor
389.0	76.0	122.52	0.008162	481.0	543.03	2.074	0.80826	1.239	283.16	0.52035	2.1023e-05	0.028937	supercritical
389.0	76.0	122.52	0.008162	481.0	543.03	2.074	0.80826	1.239	283.16	0.52035	2.1023e-05	0.028937	supercritical
389.0	79.25	128.78	0.0077651	479.39	540.93	2.0619	0.81134	1.2579	282.56	0.51651	2.116e-05	0.029267	supercritical
389.0	82.5	135.14	0.0073996	477.76	538.81	2.0501	0.81441	1.2774	282.0	0.51249	2.1303e-05	0.029609	supercritical
389.0	85.75	141.6	0.0070621	476.12	536.67	2.0386	0.81749	1.2974	281.48	0.50828	2.1454e-05	0.029964	supercritical
389.0	89.0	148.16	0.0067494	474.45	534.52	2.0273	0.82056	1.318	281.0	0.50387	2.1612e-05	0.030331	supercritical
389.0	92.25	154.82	0.0064589	472.77	532.36	2.0162	0.82363	1.3391	280.57	0.49927	2.1777e-05	0.030712	supercritical
389.0	95.5	161.59	0.0061886	471.08	530.18	2.0053	0.82669	1.3608	280.18	0.49447	2.195e-05	0.031107	supercritical
389.0	98.75	168.45	0.0059363	469.36	527.98	1.9946	0.82973	1.383	279.85	0.48948	2.2131e-05	0.031515	supercritical
389.0	102.0	175.42	0.0057005	467.63	525.78	1.9841	0.83276	1.4058	279.56	0.48429	2.232e-05	0.031938	supercritical
389.0	105.25	182.49	0.0054796	465.89	523.56	1.9737	0.83576	1.4291	279.34	0.4789	2.2519e-05	0.032375	supercritical
389.0	108.5	189.67	0.0052724	464.12	521.33	1.9635	0.83874	1.4529	279.17	0.47331	2.2726e-05	0.032827	supercritical
389.0	111.75	196.94	0.0050777	462.35	519.09	1.9534	0.84169	1.4771	279.06	0.46753	2.2943e-05	0.033294	supercritical
389.0	115.0	204.31	0.0048944	460.56	516.84	1.9435	0.84461	1.5018	279.03	0.46156	2.3169e-05	0.033776	supercritical
389.0	118.25	211.78	0.0047218	458.75	514.59	1.9337	0.84749	1.5268	279.05	0.4554	2.3406e-05	0.034272	supercritical
389.0	121.5	219.35	0.0045589	456.93	512.32	1.924	0.85033	1.5522	279.16	0.44905	2.3653e-05	0.034783	supercritical
389.0	124.75	227.01	0.0044051	455.1	510.06	1.9144	0.85312	1.5779	279.33	0.44253	2.391e-05	0.035309	supercritical
389.0	128.0	234.76	0.0042597	453.26	507.78	1.905	0.85585	1.6038	279.59	0.43583	2.4179e-05	0.035848	supercritical
389.0	131.25	242.59	0.0041222	451.41	505.51	1.8956	0.85853	1.6298	279.93	0.42897	2.4458e-05	0.036402	supercritical
389.0	134.5	250.5	0.003992	449.55	503.24	1.8864	0.86114	1.6559	280.35	0.42195	2.4749e-05	0.036969	supercritical
389.0	137.75	258.49	0.0038686	447.68	500.97	1.8773	0.86369	1.682	280.86	0.41478	2.5051e-05	0.037548	supercritical
389.0	141.0	266.55	0.0037517	445.81	498.71	1.8683	0.86616	1.7081	281.46	0.40748	2.5365e-05	0.03814	supercritical
389.0	144.25	274.67	0.0036408	443.93	496.45	1.8594	0.86856	1.7339	282.16	0.40005	2.5691e-05	0.038743	supercritical
389.0	147.5	282.84	0.0035355	442.05	494.2	1.8506	0.87088	1.7594	282.95	0.3925	2.6028e-05	0.039356	supercritical
389.0	150.75	291.07	0.0034356	440.17	491.96	1.8419	0.87311	1.7845	283.85	0.38486	2.6377e-05	0.039979	supercritical
389.0	154.0	299.33	0.0033408	438.29	489.74	1.8334	0.87526	1.8092	284.84	0.37713	2.6738e-05	0.040611	supercritical
389.0	157.25	307.62	0.0032507	436.41	487.53	1.8249	0.87731	1.8332	285.93	0.36933	2.7111e-05	0.04125	supercritical
389.0	160.5	315.94	0.0031652	434.53	485.34	1.8166	0.87927	1.8565	287.13	0.36147	2.7494e-05	0.041896	supercritical
389.0	163.75	324.27	0.0030839	432.67	483.16	1.8084	0.88113	1.879	288.43	0.35358	2.7889e-05	0.042547	supercritical
389.0	167.0	332.6	0.0030066	430.81	481.02	1.8004	0.88289	1.9005	289.84	0.34566	2.8295e-05	0.043203	supercritical
389.0	170.25	340.92	0.0029332	428.96	478.9	1.7924	0.88456	1.9211	291.35	0.33774	2.8711e-05	0.043861	supercritical
389.0	173.5	349.22	0.0028635	427.12	476.8	1.7846	0.88613	1.9406	292.96	0.32983	2.9138e-05	0.044522	supercritical
389.0	176.75	357.5	0.0027972	425.3	474.74	1.777	0.8876	1.9589	294.67	0.32194	2.9574e-05	0.045184	supercritical
389.0	180.0	365.74	0.0027342	423.49	472.7	1.7694	0.88897	1.9761	296.49	0.31411	3.0019e-05	0.045846	supercritical
389.0	183.25	373.94	0.0026742	421.7	470.7	1.762	0.89025	1.992	298.4	0.30633	3.0472e-05	0.046507	supercritical
389.0	186.5	382.07	0.0026173	419.92	468.74	1.7548	0.89143	2.0066	300.4	0.29862	3.0934e-05	0.047166	supercritical
389.0	189.75	390.15	0.0025631	418.17	466.81	1.7476	0.89253	2.0199	302.5	0.29101	3.1403e-05	0.047823	supercritical
389.0	193.0	398.15	0.0025116	416.44	464.92	1.7407	0.89353	2.0319	304.69	0.28349	3.1879e-05	0.048477	supercritical
389.0	196.25	406.07	0.0024627	414.73	463.06	1.7338	0.89446	2.0426	306.97	0.27609	3.2361e-05	0.049127	supercritical
389.0	199.5	413.9	0.0024161	413.05	461.25	1.7271	0.8953	2.0521	309.33	0.26881	3.2849e-05	0.049772	supercritical
389.0	202.75	421.63	0.0023717	411.39	459.48	1.7206	0.89606	2.0603	311.76	0.26167	3.3341e-05	0.050413	supercritical
389.0	206.0	429.27	0.0023295	409.76	457.75	1.7141	0.89676	2.0672	314.28	0.25466	3.3837e-05	0.051048	supercritical
389.0	209.25	436.8	0.0022894	408.15	456.06	1.7079	0.89738	2.073	316.86	0.2478	3.4338e-05	0.051677	supercritical
389.0	212.5	444.23	0.0022511	406.57	454.41	1.7017	0.89794	2.0777	319.51	0.24109	3.4841e-05	0.0523	supercritical
389.0	215.75	451.53	0.0022147	405.02	452.8	1.6957	0.89845	2.0812	322.22	0.23453	3.5346e-05	0.052917	supercritical
389.0	219.0	458.73	0.0021799	403.49	451.23	1.6899	0.89889	2.0838	324.99	0.22813	3.5853e-05	0.053528	supercritical
389.0	222.25	465.8	0.0021468	402.0	449.71	1.6841	0.89928	2.0854	327.82	0.22189	3.6362e-05	0.054132	supercritical
389.0	225.5	472.75	0.0021153	400.53	448.23	1.6786	0.89963	2.0861	330.69	0.21581	3.6871e-05	0.054729	supercritical
389.0	228.75	479.58	0.0020851	399.09	446.78	1.6731	0.89993	2.086	333.62	0.20989	3.7381e-05	0.055319	supercritical
389.0	232.0	486.29	0.0020564	397.67	445.38	1.6678	0.90019	2.0851	336.58	0.20414	3.789e-05	0.055902	supercritical
389.0	235.25	492.87	0.0020289	396.29	444.02	1.6625	0.90042	2.0835	339.59	0.19855	3.8399e-05	0.056478	supercritical
389.0	238.5	499.33	0.0020027	394.93	442.69	1.6574	0.90061	2.0813	342.63	0.19311	3.8907e-05	0.057047	supercritical
389.0	241.75	505.67	0.0019776	393.6	441.4	1.6525	0.90077	2.0786	345.7	0.18783	3.9413e-05	0.057609	supercritical
389.0	245.0	511.88	0.0019536	392.29	440.15	1.6476	0.90091	2.0753	348.81	0.18271	3.9918e-05	0.058165	supercritical
389.0	248.25	517.98	0.0019306	391.01	438.94	1.6429	0.90102	2.0715	351.93	0.17775	4.0421e-05	0.058713	supercritical
389.0	251.5	523.95	0.0019086	389.76	437.76	1.6382	0.9011	2.0674	355.08	0.17293	4.0921e-05	0.059255	supercritical
389.0	254.75	529.8	0.0018875	388.53	436.62	1.6337	0.90117	2.0629	358.25	0.16826	4.1419e-05	0.05979	supercritical
389.0	258.0	535.54	0.0018673	387.33	435.5	1.6293	0.90122	2.058	361.44	0.16374	4.1915e-05	0.060319	supercritical
389.0	261.25	541.17	0.0018479	386.15	434.42	1.625	0.90126	2.053	364.64	0.15936	4.2408e-05	0.060841	supercritical
389.0	264.5	546.68	0.0018292	384.99	433.38	1.6207	0.90129	2.0476	367.84	0.15511	4.2897e-05	0.061356	supercritical
389.0	267.75	552.08	0.0018113	383.86	432.36	1.6166	0.9013	2.0422	371.06	0.151	4.3384e-05	0.061866	supercritical
389.0	271.0	557.38	0.0017941	382.75	431.37	1.6126	0.9013	2.0365	374.29	0.14702	4.3867e-05	0.062369	supercritical
389.0	274.25	562.57	0.0017776	381.66	430.41	1.6086	0.9013	2.0307	377.51	0.14316	4.4347e-05	0.062866	supercritical
389.0	277.5	567.65	0.0017616	380.6	429.48	1.6047	0.90129	2.0248	380.74	0.13943	4.4824e-05	0.063357	supercritical
389.0	280.75	572.64	0.0017463	379.55	428.58	1.6009	0.90127	2.0189	383.97	0.13581	4.5297e-05	0.063843	supercritical
389.0	284.0	577.53	0.0017315	378.52	427.7	1.5972	0.90125	2.0129	387.2	0.13231	4.5767e-05	0.064323	supercritical
389.0	287.25	582.33	0.0017173	377.52	426.85	1.5936	0.90122	2.0068	390.42	0.12892	4.6233e-05	0.064797	supercritical
389.0	290.5	587.03	0.0017035	376.53	426.02	1.59	0.9012	2.0008	393.64	0.12563	4.6696e-05	0.065267	supercritical
389.0	293.75	591.64	0.0016902	375.56	425.21	1.5865	0.90117	1.9947	396.85	0.12245	4.7155e-05	0.06573	supercritical
389.0	297.0	596.16	0.0016774	374.61	424.43	1.5831	0.90114	1.9886	400.05	0.11937	4.761e-05	0.066189	supercritical
389.0	300.25	600.6	0.001665	373.68	423.67	1.5798	0.90111	1.9826	403.25	0.11638	4.8062e-05	0.066643	supercritical
389.0	303.5	604.96	0.001653	372.76	422.93	1.5765	0.90108	1.9766	406.43	0.11349	4.8511e-05	0.067091	supercritical
389.0	306.75	609.23	0.0016414	371.86	422.21	1.5733	0.90105	1.9706	409.61	0.11068	4.8956e-05	0.067535	supercritical
389.0	310.0	613.43	0.0016302	370.98	421.51	1.5701	0.90102	1.9647	412.77	0.10796	4.9397e-05	0.067975	supercritical
389.0	313.25	617.55	0.0016193	370.11	420.83	1.567	0.90099	1.9588	415.92	0.10532	4.9835e-05	0.068409	supercritical
389.0	316.5	621.6	0.0016087	369.25	420.17	1.5639	0.90096	1.9529	419.06	0.10276	5.0269e-05	0.06884	supercritical
389.0	319.75	625.58	0.0015985	368.41	419.53	1.5609	0.90093	1.9472	422.19	0.10027	5.07e-05	0.069266	supercritical
389.0	323.0	629.48	0.0015886	367.59	418.9	1.558	0.90091	1.9415	425.3	0.097863	5.1128e-05	0.069687	supercritical
389.0	326.25	633.32	0.001579	366.78	418.29	1.5551	0.90089	1.9358	428.4	0.095521	5.1552e-05	0.070105	supercritical
389.0	329.5	637.09	0.0015696	365.98	417.7	1.5523	0.90087	1.9302	431.48	0.093246	5.1973e-05	0.070518	supercritical
