Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
470.0	56.5	67.106	0.014902	560.59	644.78	2.3631	0.82619	1.0917	325.31	0.3387	2.3624e-05	0.032852	vapor
470.0	59.75	71.175	0.01405	559.63	643.58	2.3505	0.82745	1.098	325.11	0.33699	2.3694e-05	0.03301	vapor
470.0	63.0	75.266	0.013286	558.67	642.38	2.3385	0.82871	1.1043	324.93	0.33524	2.3765e-05	0.03317	vapor
470.0	66.25	79.378	0.012598	557.71	641.17	2.327	0.82997	1.1108	324.77	0.33346	2.3839e-05	0.033332	vapor
470.0	69.5	83.513	0.011974	556.75	639.97	2.3159	0.83122	1.1172	324.63	0.33164	2.3914e-05	0.033496	vapor
470.0	72.75	87.669	0.011407	555.78	638.76	2.3053	0.83247	1.1238	324.5	0.32979	2.3992e-05	0.033663	vapor
470.0	76.0	91.846	0.010888	554.81	637.56	2.295	0.83372	1.1304	324.39	0.3279	2.4071e-05	0.033832	vapor
470.0	76.0	91.846	0.010888	554.81	637.56	2.295	0.83372	1.1304	324.39	0.3279	2.4071e-05	0.033832	supercritical
470.0	76.0	91.846	0.010888	554.81	637.56	2.295	0.83372	1.1304	324.39	0.3279	2.4071e-05	0.033832	supercritical
470.0	79.25	96.044	0.010412	553.84	636.36	2.2851	0.83496	1.1371	324.3	0.32597	2.4152e-05	0.034004	supercritical
470.0	82.5	100.26	0.0099738	552.87	635.15	2.2755	0.8362	1.1438	324.23	0.32401	2.4235e-05	0.034178	supercritical
470.0	85.75	104.5	0.0095692	551.89	633.95	2.2662	0.83744	1.1506	324.17	0.32201	2.4321e-05	0.034355	supercritical
470.0	89.0	108.76	0.0091945	550.91	632.74	2.2571	0.83867	1.1574	324.14	0.31997	2.4408e-05	0.034534	supercritical
470.0	92.25	113.04	0.0088465	549.93	631.54	2.2483	0.8399	1.1643	324.13	0.3179	2.4498e-05	0.034716	supercritical
470.0	95.5	117.34	0.0085224	548.95	630.34	2.2398	0.84112	1.1712	324.14	0.31579	2.459e-05	0.034901	supercritical
470.0	98.75	121.65	0.00822	547.96	629.14	2.2314	0.84233	1.1782	324.16	0.31364	2.4684e-05	0.035089	supercritical
470.0	102.0	125.99	0.0079372	546.98	627.94	2.2233	0.84354	1.1852	324.21	0.31145	2.478e-05	0.035279	supercritical
470.0	105.25	130.34	0.0076721	545.99	626.74	2.2153	0.84474	1.1922	324.29	0.30923	2.4879e-05	0.035473	supercritical
470.0	108.5	134.71	0.0074232	545.0	625.54	2.2076	0.84593	1.1993	324.38	0.30698	2.498e-05	0.035669	supercritical
470.0	111.75	139.1	0.0071891	544.01	624.34	2.2	0.84712	1.2064	324.5	0.30469	2.5083e-05	0.035868	supercritical
470.0	115.0	143.5	0.0069685	543.01	623.15	2.1926	0.84829	1.2136	324.64	0.30236	2.5189e-05	0.036071	supercritical
470.0	118.25	147.92	0.0067603	542.02	621.96	2.1853	0.84946	1.2207	324.8	0.30001	2.5297e-05	0.036276	supercritical
470.0	121.5	152.36	0.0065635	541.02	620.77	2.1781	0.85062	1.2279	324.99	0.29761	2.5408e-05	0.036484	supercritical
470.0	124.75	156.81	0.0063773	540.03	619.58	2.1711	0.85178	1.2351	325.2	0.29519	2.5521e-05	0.036696	supercritical
470.0	128.0	161.27	0.0062008	539.03	618.4	2.1643	0.85292	1.2423	325.43	0.29273	2.5636e-05	0.03691	supercritical
470.0	131.25	165.75	0.0060333	538.03	617.22	2.1575	0.85405	1.2495	325.69	0.29025	2.5755e-05	0.037128	supercritical
470.0	134.5	170.23	0.0058742	537.03	616.04	2.1509	0.85517	1.2567	325.98	0.28773	2.5875e-05	0.037348	supercritical
470.0	137.75	174.73	0.005723	536.04	614.87	2.1444	0.85628	1.2639	326.29	0.28519	2.5999e-05	0.037572	supercritical
470.0	141.0	179.25	0.0055789	535.04	613.7	2.138	0.85738	1.2712	326.63	0.28262	2.6124e-05	0.037799	supercritical
470.0	144.25	183.77	0.0054417	534.04	612.53	2.1317	0.85847	1.2784	326.99	0.28002	2.6253e-05	0.038029	supercritical
470.0	147.5	188.3	0.0053107	533.04	611.37	2.1255	0.85955	1.2855	327.38	0.2774	2.6384e-05	0.038262	supercritical
470.0	150.75	192.84	0.0051857	532.04	610.22	2.1194	0.86062	1.2927	327.8	0.27475	2.6518e-05	0.038498	supercritical
470.0	154.0	197.38	0.0050663	531.04	609.06	2.1134	0.86167	1.2999	328.25	0.27208	2.6655e-05	0.038737	supercritical
470.0	157.25	201.94	0.004952	530.05	607.92	2.1075	0.86271	1.307	328.72	0.26939	2.6794e-05	0.038979	supercritical
470.0	160.5	206.5	0.0048427	529.05	606.78	2.1017	0.86374	1.3141	329.22	0.26668	2.6936e-05	0.039225	supercritical
470.0	163.75	211.06	0.004738	528.06	605.64	2.096	0.86476	1.3211	329.74	0.26395	2.708e-05	0.039473	supercritical
470.0	167.0	215.63	0.0046376	527.06	604.51	2.0903	0.86576	1.3281	330.3	0.2612	2.7228e-05	0.039724	supercritical
470.0	170.25	220.2	0.0045413	526.07	603.38	2.0848	0.86675	1.3351	330.88	0.25844	2.7378e-05	0.039978	supercritical
470.0	173.5	224.77	0.0044489	525.08	602.27	2.0793	0.86773	1.342	331.5	0.25566	2.753e-05	0.040235	supercritical
470.0	176.75	229.35	0.0043602	524.09	601.15	2.0739	0.86869	1.3489	332.14	0.25287	2.7686e-05	0.040495	supercritical
470.0	180.0	233.92	0.0042749	523.1	600.05	2.0685	0.86964	1.3557	332.8	0.25007	2.7844e-05	0.040757	supercritical
470.0	183.25	238.5	0.0041929	522.12	598.95	2.0633	0.87058	1.3624	333.5	0.24726	2.8005e-05	0.041022	supercritical
470.0	186.5	243.07	0.0041141	521.13	597.86	2.0581	0.8715	1.3691	334.23	0.24445	2.8168e-05	0.04129	supercritical
470.0	189.75	247.64	0.0040382	520.15	596.78	2.053	0.87241	1.3756	334.98	0.24162	2.8334e-05	0.041561	supercritical
470.0	193.0	252.2	0.0039651	519.17	595.7	2.0479	0.8733	1.3822	335.76	0.23879	2.8503e-05	0.041834	supercritical
470.0	196.25	256.76	0.0038947	518.2	594.63	2.0429	0.87418	1.3886	336.57	0.23596	2.8674e-05	0.042109	supercritical
470.0	199.5	261.32	0.0038268	517.23	593.57	2.038	0.87504	1.395	337.41	0.23312	2.8848e-05	0.042387	supercritical
470.0	202.75	265.86	0.0037613	516.26	592.52	2.0331	0.87589	1.4012	338.28	0.23029	2.9025e-05	0.042667	supercritical
470.0	206.0	270.4	0.0036982	515.29	591.47	2.0283	0.87672	1.4074	339.17	0.22745	2.9204e-05	0.04295	supercritical
470.0	209.25	274.93	0.0036372	514.33	590.44	2.0236	0.87754	1.4135	340.1	0.22462	2.9386e-05	0.043234	supercritical
470.0	212.5	279.45	0.0035784	513.37	589.41	2.0189	0.87834	1.4195	341.05	0.22179	2.957e-05	0.043521	supercritical
470.0	215.75	283.96	0.0035216	512.41	588.39	2.0143	0.87913	1.4253	342.02	0.21897	2.9756e-05	0.04381	supercritical
470.0	219.0	288.46	0.0034667	511.46	587.38	2.0097	0.87991	1.4311	343.03	0.21615	2.9945e-05	0.0441	supercritical
470.0	222.25	292.95	0.0034136	510.51	586.38	2.0052	0.88067	1.4368	344.06	0.21334	3.0137e-05	0.044393	supercritical
470.0	225.5	297.42	0.0033622	509.57	585.39	2.0008	0.88141	1.4424	345.12	0.21054	3.0331e-05	0.044687	supercritical
470.0	228.75	301.88	0.0033126	508.63	584.41	1.9964	0.88215	1.4478	346.2	0.20775	3.0527e-05	0.044983	supercritical
470.0	232.0	306.32	0.0032646	507.69	583.43	1.992	0.88286	1.4532	347.32	0.20498	3.0725e-05	0.04528	supercritical
470.0	235.25	310.75	0.003218	506.76	582.47	1.9877	0.88356	1.4584	348.45	0.20221	3.0925e-05	0.045579	supercritical
470.0	238.5	315.16	0.003173	505.84	581.52	1.9835	0.88425	1.4635	349.61	0.19946	3.1128e-05	0.045879	supercritical
470.0	241.75	319.55	0.0031294	504.92	580.57	1.9793	0.88492	1.4685	350.8	0.19673	3.1333e-05	0.046181	supercritical
470.0	245.0	323.92	0.0030872	504.0	579.64	1.9752	0.88558	1.4734	352.01	0.19401	3.154e-05	0.046483	supercritical
470.0	248.25	328.28	0.0030462	503.09	578.71	1.9711	0.88623	1.4781	353.24	0.19131	3.1749e-05	0.046787	supercritical
470.0	251.5	332.61	0.0030065	502.19	577.8	1.967	0.88686	1.4828	354.5	0.18863	3.196e-05	0.047092	supercritical
470.0	254.75	336.92	0.002968	501.29	576.9	1.9631	0.88748	1.4873	355.78	0.18597	3.2173e-05	0.047398	supercritical
470.0	258.0	341.21	0.0029307	500.39	576.0	1.9591	0.88808	1.4917	357.09	0.18333	3.2387e-05	0.047704	supercritical
470.0	261.25	345.48	0.0028945	499.5	575.12	1.9552	0.88867	1.496	358.41	0.18071	3.2604e-05	0.048012	supercritical
470.0	264.5	349.73	0.0028593	498.62	574.24	1.9514	0.88925	1.5001	359.76	0.17811	3.2822e-05	0.04832	supercritical
470.0	267.75	353.96	0.0028252	497.74	573.38	1.9476	0.88981	1.5041	361.13	0.17554	3.3042e-05	0.048629	supercritical
470.0	271.0	358.16	0.0027921	496.86	572.53	1.9438	0.89037	1.5081	362.52	0.17298	3.3264e-05	0.048938	supercritical
470.0	274.25	362.33	0.0027599	496.0	571.69	1.9401	0.89091	1.5119	363.93	0.17046	3.3487e-05	0.049247	supercritical
470.0	277.5	366.49	0.0027286	495.13	570.85	1.9364	0.89143	1.5155	365.36	0.16795	3.3712e-05	0.049557	supercritical
470.0	280.75	370.61	0.0026982	494.28	570.03	1.9328	0.89195	1.5191	366.8	0.16547	3.3938e-05	0.049868	supercritical
470.0	284.0	374.71	0.0026687	493.43	569.22	1.9292	0.89245	1.5225	368.27	0.16302	3.4166e-05	0.050178	supercritical
470.0	287.25	378.79	0.00264	492.58	568.42	1.9257	0.89294	1.5258	369.75	0.16059	3.4395e-05	0.050489	supercritical
470.0	290.5	382.84	0.0026121	491.75	567.63	1.9222	0.89342	1.5291	371.26	0.15819	3.4626e-05	0.0508	supercritical
470.0	293.75	386.86	0.0025849	490.91	566.85	1.9187	0.89389	1.5322	372.78	0.15582	3.4857e-05	0.05111	supercritical
470.0	297.0	390.85	0.0025585	490.09	566.08	1.9153	0.89435	1.5351	374.31	0.15347	3.509e-05	0.051421	supercritical
470.0	300.25	394.82	0.0025328	489.27	565.31	1.9119	0.89479	1.538	375.86	0.15115	3.5325e-05	0.051731	supercritical
470.0	303.5	398.76	0.0025078	488.45	564.56	1.9086	0.89523	1.5408	377.43	0.14886	3.556e-05	0.052041	supercritical
